PROV,KABKOTA,CABANG,nps_score,csi_num,loyalty_num,emotion_positive_score,emotion_negative_score,emotion_net,n_responden,ovr_operasional,ovr_parkir,ovr_banking_hall,ovr_toilet,ovr_sekuriti,ovr_teller,ovr_cs
Bali,Denpasar,Denpasar 1,94.4,6.0,5.889,5.5,3.015873015873016,2.484126984126984,18,5.722222222222222,5.833333333333333,5.833333333333333,5.944444444444445,5.944444444444445,5.9411764705882355,5.666666666666667
Bali,Denpasar,Denpasar 2,100.0,6.0,6.0,5.62962962962963,3.3968253968253967,2.2328042328042326,9,5.666666666666667,5.777777777777778,5.666666666666667,5.777777777777778,5.888888888888889,5.777777777777778,5.777777777777778
Banten,Cilegon,Cilegon 1,77.8,5.889,5.778,5.839506172839506,1.365079365079365,4.474426807760142,9,6.0,6.222222222222222,6.0,6.0,5.888888888888889,5.833333333333333,6.0
Banten,Cilegon,Cilegon 2,94.4,6.0,5.944,5.969135802469136,1.7063492063492065,4.26278659611993,18,6.0,6.0,6.0,5.944444444444445,6.0,6.0,6.0
Banten,Lebak,Lebak 1,100.0,6.0,6.0,5.962962962962963,1.1666666666666667,4.796296296296296,18,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Banten,Lebak,Lebak 2,44.4,5.444,5.333,4.950617283950617,2.7936507936507935,2.1569664902998236,9,5.555555555555555,5.222222222222222,5.333333333333333,5.222222222222222,5.555555555555555,5.5,5.4
Banten,Pandeglang,Pandeglang 1,94.4,6.0,6.0,5.919753086419753,1.150793650793651,4.768959435626103,18,6.0,5.888888888888889,5.944444444444445,5.944444444444445,6.0,5.909090909090909,6.0
Banten,Pandeglang,Pandeglang 2,88.9,6.0,5.889,5.6913580246913575,1.5396825396825398,4.151675485008819,9,5.888888888888889,5.444444444444445,5.777777777777778,5.666666666666667,5.888888888888889,5.8,6.0
Banten,Pandeglang,Pandeglang 3,100.0,6.0,5.944,5.969135802469136,1.1349206349206349,4.834215167548501,18,6.0,5.833333333333333,5.833333333333333,5.944444444444445,6.0,6.0,6.0
Banten,Pandeglang,Pandeglang 4,88.9,5.889,5.889,5.888888888888889,1.0634920634920635,4.825396825396826,9,5.888888888888889,5.333333333333333,5.888888888888889,5.888888888888889,5.888888888888889,5.8,6.0
Banten,Serang,Serang 1,88.9,6.0,5.944,5.962962962962963,1.1031746031746033,4.85978835978836,18,5.833333333333333,6.0,5.944444444444445,5.944444444444445,6.0,6.0,5.909090909090909
Banten,Serang,Serang 2,77.8,5.889,5.778,5.938271604938271,1.3333333333333333,4.604938271604938,9,5.777777777777778,5.555555555555555,5.888888888888889,5.777777777777778,5.777777777777778,6.0,6.0
Banten,Tangerang,Tangerang 1,88.9,5.944,5.944,5.765432098765432,3.642857142857143,2.1225749559082896,18,5.888888888888889,5.944444444444445,5.944444444444445,6.0,6.0,5.875,5.8
