PROV,nps_score,csi_num,loyalty_num,emotion_positive_score,emotion_negative_score,emotion_net,n_responden,ovr_operasional,ovr_parkir,ovr_banking_hall,ovr_toilet,ovr_sekuriti,ovr_teller,ovr_cs
Bali,96.3,6.0,5.925925925925926,5.54320987654321,3.142857142857143,2.400352733686067,27,5.703703703703703,5.814814814814815,5.777777777777778,5.888888888888889,5.925925925925926,5.884615384615385,5.722222222222222
Banten,82.9,5.921,5.888888888888889,5.796810699588478,1.7136243386243388,4.083186360964139,216,5.861111111111111,5.782407407407407,5.847222222222222,5.861111111111111,5.898148148148148,5.875912408759124,5.881118881118881
DKI Jakarta,65.1,5.784,5.738532110091743,5.6248725790010194,2.250327653997379,3.3745449250036406,218,5.706422018348624,5.68348623853211,5.770642201834862,5.7889908256880735,5.825688073394495,5.8,5.8559322033898304
Jawa Barat,85.9,5.926,5.923809523809524,5.853027630805409,1.306878306878307,4.546149323927102,945,5.9005291005291,5.858201058201058,5.908994708994709,5.924867724867725,5.9566137566137565,5.947368421052632,5.910839160839161
Jawa Tengah,72.7,5.758,5.717171717171717,5.695847362514029,2.311688311688312,3.3841590508257173,99,5.767676767676767,5.616161616161616,5.737373737373737,5.696969696969697,5.737373737373737,5.783333333333333,5.689655172413793
Jawa Timur,66.7,5.889,5.925925925925926,5.510288065843621,1.2698412698412698,4.2404467960023515,27,5.555555555555555,5.518518518518518,5.444444444444445,5.814814814814815,5.814814814814815,5.75,5.7894736842105265
Kalimantan Selatan,92.6,6.0,6.0,5.987654320987654,1.1111111111111112,4.876543209876543,27,6.0,5.925925925925926,5.962962962962963,6.0,6.0,6.0,6.0
Kalimantan Timur,59.3,5.556,5.481481481481482,5.493827160493828,1.9047619047619049,3.589065255731922,27,5.518518518518518,5.37037037037037,5.518518518518518,5.62962962962963,5.666666666666667,5.529411764705882,5.722222222222222
Kepulauan Riau,55.6,5.704,5.62962962962963,5.209876543209877,1.6243386243386242,3.5855379188712524,27,5.7407407407407405,5.7407407407407405,5.62962962962963,5.703703703703703,5.814814814814815,5.761904761904762,5.8
Lampung,77.8,5.778,5.888888888888889,5.460905349794239,2.121693121693122,3.3392122281011174,27,5.148148148148148,5.37037037037037,5.518518518518518,5.518518518518518,5.666666666666667,5.642857142857143,5.615384615384615
Riau,77.8,5.944,5.944444444444445,5.839506172839506,1.2380952380952381,4.601410934744268,18,5.888888888888889,5.833333333333333,5.833333333333333,5.944444444444445,5.888888888888889,6.0,5.8
Sulawesi Selatan,100.0,6.0,6.0,5.934156378600823,1.037037037037037,4.897119341563786,27,5.962962962962963,5.962962962962963,5.925925925925926,5.962962962962963,5.962962962962963,6.0,5.944444444444445
Sumatera Selatan,85.2,5.963,5.962962962962963,5.954732510288066,1.2116402116402116,4.743092298647855,27,6.0,5.851851851851852,6.0,5.962962962962963,6.0,6.0,6.0
Sumatera Utara,50.0,5.889,5.777777777777778,5.84567901234568,1.2380952380952381,4.607583774250441,18,5.888888888888889,5.944444444444445,5.888888888888889,5.944444444444445,6.0,5.909090909090909,6.0
