atribut,xyz_pct_agree,komp_pct_agree,selisih
Bank terkenal,99.9,97.1,2.8
Digunakan banyak orang,99.8,97.8,2.0
Membuat merasa aman,99.9,97.8,2.1
Membuat merasa dihargai,99.8,96.3,3.5
Banyak ATM,99.9,96.2,3.7
Banyak cabang,99.7,96.2,3.5
Reputasi baik,99.8,97.4,2.4
Produk/layanan lengkap,100.0,98.0,2.0
Layanan online informasi,100.0,98.0,2.0
Banyak channel keluhan,99.9,97.3,2.6
Menguntungkan investasi,99.9,97.1,2.8
Membuat bangga,99.7,97.4,2.3
Percaya diri bertransaksi,98.6,94.0,4.6
Bergengsi/prestise,99.7,96.3,3.4
Mudah transaksi kapanpun,99.9,97.4,2.5
