provinsi,xyz_nps,komp_nps,selisih,n_xyz,n_komp
Sulawesi Selatan,100.0,68.2,31.8,27,22
Bali,96.3,100.0,-3.7,27,7
Kalimantan Selatan,92.6,0.0,92.6,27,4
Jawa Barat,85.9,27.8,58.1,945,216
Sumatera Selatan,85.2,46.2,39.0,27,13
Banten,82.9,10.2,72.7,216,49
Riau,77.8,11.1,66.7,18,9
Lampung,77.8,22.2,55.6,27,18
Jawa Tengah,72.7,2.9,69.8,99,69
Jawa Timur,66.7,58.3,8.4,27,12
DKI Jakarta,65.1,36.4,28.7,218,66
Kalimantan Timur,59.3,31.6,27.7,27,19
Kepulauan Riau,55.6,18.5,37.1,27,27
Sumatera Utara,50.0,26.7,23.3,18,15
