segmen,emosi,tipe,mean_score,pct_strong,n
Loyal Champion,Bahagia,positif,5.943,100.0,316
Loyal Champion,Percaya,positif,5.956,99.7,316
Loyal Champion,Dihargai,positif,5.93,99.7,316
Loyal Champion,Diperhatikan,positif,5.93,99.7,316
Loyal Champion,Aman,positif,5.93,99.4,316
Loyal Champion,Fokus,positif,5.911,99.1,316
Loyal Champion,Dimanjakan,positif,5.896,99.4,316
Loyal Champion,Tertarik,positif,5.858,98.1,316
Loyal Champion,Semangat,positif,5.918,99.7,316
Loyal Champion,Tidak Puas,negatif,1.263,4.4,316
Loyal Champion,Frustasi,negatif,1.218,3.5,316
Loyal Champion,Kecewa,negatif,1.269,4.1,316
Loyal Champion,Tertekan,negatif,1.364,6.3,316
Loyal Champion,Tidak Bahagia,negatif,1.272,4.4,316
Loyal Champion,Diabaikan,negatif,1.329,5.7,316
Loyal Champion,Tergesa-gesa,negatif,1.339,4.1,316
Satisfied,Bahagia,positif,5.869,99.3,434
Satisfied,Percaya,positif,5.887,99.5,434
Satisfied,Dihargai,positif,5.846,98.8,434
Satisfied,Diperhatikan,positif,5.853,99.1,434
Satisfied,Aman,positif,5.887,99.3,434
Satisfied,Fokus,positif,5.839,99.3,434
Satisfied,Dimanjakan,positif,5.829,98.8,434
Satisfied,Tertarik,positif,5.809,98.4,434
Satisfied,Semangat,positif,5.836,99.3,434
Satisfied,Tidak Puas,negatif,1.539,9.2,434
Satisfied,Frustasi,negatif,1.502,8.3,434
Satisfied,Kecewa,negatif,1.56,9.7,434
Satisfied,Tertekan,negatif,1.594,9.9,434
Satisfied,Tidak Bahagia,negatif,1.525,9.0,434
Satisfied,Diabaikan,negatif,1.671,12.0,434
Satisfied,Tergesa-gesa,negatif,1.56,9.4,434
Unknown,Bahagia,positif,5.725,96.3,847
Unknown,Percaya,positif,5.771,98.0,847
Unknown,Dihargai,positif,5.796,98.2,847
Unknown,Diperhatikan,positif,5.784,98.1,847
Unknown,Aman,positif,5.79,98.6,847
Unknown,Fokus,positif,5.669,96.0,847
Unknown,Dimanjakan,positif,5.707,95.5,847
Unknown,Tertarik,positif,5.68,95.9,847
Unknown,Semangat,positif,5.749,96.6,847
Unknown,Tidak Puas,negatif,1.564,9.8,847
Unknown,Frustasi,negatif,1.567,9.7,847
Unknown,Kecewa,negatif,1.518,9.0,847
Unknown,Tertekan,negatif,1.669,12.2,847
Unknown,Tidak Bahagia,negatif,1.59,10.0,847
Unknown,Diabaikan,negatif,1.641,11.5,847
Unknown,Tergesa-gesa,negatif,1.753,12.0,847
Passive,Bahagia,positif,5.46,99.2,124
Passive,Percaya,positif,5.605,100.0,124
Passive,Dihargai,positif,5.548,98.4,124
Passive,Diperhatikan,positif,5.468,97.6,124
Passive,Aman,positif,5.613,99.2,124
Passive,Fokus,positif,5.468,97.6,124
Passive,Dimanjakan,positif,5.403,95.2,124
Passive,Tertarik,positif,5.411,97.6,124
Passive,Semangat,positif,5.468,95.2,124
Passive,Tidak Puas,negatif,2.121,17.7,124
Passive,Frustasi,negatif,1.935,15.3,124
Passive,Kecewa,negatif,2.04,14.5,124
Passive,Tertekan,negatif,2.113,16.9,124
Passive,Tidak Bahagia,negatif,2.065,16.9,124
Passive,Diabaikan,negatif,1.968,14.5,124
Passive,Tergesa-gesa,negatif,2.274,18.5,124
At Risk,Bahagia,positif,5.111,77.8,9
At Risk,Percaya,positif,5.444,100.0,9
At Risk,Dihargai,positif,4.778,77.8,9
At Risk,Diperhatikan,positif,5.556,100.0,9
At Risk,Aman,positif,5.556,100.0,9
At Risk,Fokus,positif,5.444,100.0,9
At Risk,Dimanjakan,positif,5.0,77.8,9
At Risk,Tertarik,positif,5.333,88.9,9
At Risk,Semangat,positif,5.444,100.0,9
At Risk,Tidak Puas,negatif,2.556,33.3,9
At Risk,Frustasi,negatif,2.333,22.2,9
At Risk,Kecewa,negatif,2.222,22.2,9
At Risk,Tertekan,negatif,2.111,22.2,9
At Risk,Tidak Bahagia,negatif,2.222,22.2,9
At Risk,Diabaikan,negatif,1.556,0.0,9
At Risk,Tergesa-gesa,negatif,1.778,11.1,9
