emosi,tipe,mean_score,pct_strong,n
Bahagia,positif,5.779,97.9,1730
Percaya,positif,5.82,98.8,1730
Dihargai,positif,5.81,98.6,1730
Diperhatikan,positif,5.804,98.6,1730
Aman,positif,5.826,99.0,1730
Fokus,positif,5.74,97.5,1730
Dimanjakan,positif,5.747,96.9,1730
Tertarik,positif,5.724,97.0,1730
Semangat,positif,5.78,97.7,1730
Tidak Puas,negatif,1.548,9.4,1730
Frustasi,negatif,1.517,8.7,1730
Kecewa,negatif,1.524,8.7,1730
Tertekan,negatif,1.629,10.9,1730
Tidak Bahagia,negatif,1.553,9.3,1730
Diabaikan,negatif,1.614,10.7,1730
Tergesa-gesa,negatif,1.666,10.4,1730
