kategori,atribut_idx,col_imp,col_sat,importance,performance,gap,kuadran
Kantor Cabang,1,T_KC2_2,T_KC2_3,5.757,5.297,-0.46,Low Priority
Kantor Cabang,2,T_KC2_5,T_KC2_6,5.8,5.233,-0.567,Low Priority
Kantor Cabang,3,T_KC2_8,T_KC2_9,5.85,5.339,-0.511,Low Priority
Kantor Cabang,4,T_KC2_11,T_KC2_12,5.817,5.306,-0.511,Low Priority
Kantor Cabang,5,T_KC2_14,T_KC2_15,5.85,5.24,-0.61,Low Priority
Kantor Cabang,6,T_KC2_17,T_KC2_18,5.82,5.282,-0.538,Low Priority
Kantor Cabang,7,T_KC2_20,T_KC2_21,5.82,5.297,-0.523,Low Priority
Kantor Cabang,8,T_KC2_23,T_KC2_24,5.854,5.364,-0.49,Low Priority
Kantor Cabang,9,T_KC2_26,T_KC2_27,5.863,5.366,-0.497,Low Priority
Kantor Cabang,10,T_KC2_29,T_KC2_30,5.838,5.293,-0.545,Low Priority
Kantor Cabang,11,T_KC2_32,T_KC2_33,5.882,5.401,-0.481,Quick Win (prioritas perbaikan)
Kantor Cabang,12,T_KC2_35,T_KC2_36,5.867,5.352,-0.515,Quick Win (prioritas perbaikan)
Kantor Cabang,13,T_KC2_38,T_KC2_39,5.77,5.097,-0.673,Low Priority
Kantor Cabang,14,T_KC2_41,T_KC2_42,5.796,5.317,-0.479,Low Priority
Kantor Cabang,15,T_KC2_44,T_KC2_45,5.857,5.324,-0.533,Low Priority
Kantor Cabang,16,T_KC2_47,T_KC2_48,5.744,5.134,-0.61,Low Priority
Kantor Cabang,17,T_KC2_50,T_KC2_51,5.869,5.381,-0.488,Quick Win (prioritas perbaikan)
Kantor Cabang,18,T_KC2_53,T_KC2_54,5.829,5.344,-0.485,Low Priority
Kantor Cabang,19,T_KC2_56,T_KC2_57,5.854,5.388,-0.466,Low Priority
Kantor Cabang,20,T_KC2_59,T_KC2_60,5.861,5.321,-0.541,Low Priority
Kantor Cabang,21,T_KC2_62,T_KC2_63,5.848,5.372,-0.476,Low Priority
Kantor Cabang,22,T_KC2_65,T_KC2_66,5.775,5.236,-0.539,Low Priority
Kantor Cabang,23,T_KC2_68,T_KC2_69,5.747,5.225,-0.522,Low Priority
Kantor Cabang,24,T_KC2_71,T_KC2_72,5.862,5.383,-0.48,Low Priority
Kantor Cabang,25,T_KC2_74,T_KC2_75,5.838,5.311,-0.526,Low Priority
Kantor Cabang,26,T_KC2_77,T_KC2_78,5.86,5.388,-0.471,Low Priority
Kantor Cabang,27,T_KC2_80,T_KC2_81,5.888,5.35,-0.538,Quick Win (prioritas perbaikan)
Kantor Cabang,28,T_KC2_83,T_KC2_84,5.868,5.33,-0.539,Quick Win (prioritas perbaikan)
Kantor Cabang,29,T_KC2_86,T_KC2_87,5.835,5.328,-0.507,Low Priority
Kantor Cabang,30,T_KC2_89,T_KC2_90,5.838,5.342,-0.495,Low Priority
Kantor Cabang,31,T_KC2_92,T_KC2_93,5.85,5.346,-0.504,Low Priority
Kantor Cabang,32,T_KC2_95,T_KC2_96,5.857,5.372,-0.485,Low Priority
Kantor Cabang,33,T_KC2_98,T_KC2_99,5.873,5.374,-0.5,Quick Win (prioritas perbaikan)
Kantor Cabang,34,T_KC2_101,T_KC2_102,5.85,5.364,-0.485,Low Priority
Kantor Cabang,35,T_KC2_104,T_KC2_105,5.835,5.359,-0.476,Low Priority
Sekuriti,1,T_SC2_2,T_SC2_3,5.865,5.463,-0.401,Possible Overkill
Sekuriti,2,T_SC2_5,T_SC2_6,5.879,5.502,-0.377,Keep Up (pertahankan)
Sekuriti,3,T_SC2_8,T_SC2_9,5.879,5.513,-0.366,Keep Up (pertahankan)
Sekuriti,4,T_SC2_11,T_SC2_12,5.89,5.429,-0.461,Keep Up (pertahankan)
Sekuriti,5,T_SC2_14,T_SC2_15,5.894,5.484,-0.411,Keep Up (pertahankan)
Sekuriti,6,T_SC2_17,T_SC2_18,5.887,5.44,-0.448,Keep Up (pertahankan)
Sekuriti,7,T_SC2_20,T_SC2_21,5.888,5.454,-0.434,Keep Up (pertahankan)
Sekuriti,8,T_SC2_23,T_SC2_24,5.88,5.44,-0.441,Keep Up (pertahankan)
Sekuriti,9,T_SC2_26,T_SC2_27,5.887,5.427,-0.461,Keep Up (pertahankan)
Sekuriti,10,T_SC2_29,T_SC2_30,5.893,5.447,-0.446,Keep Up (pertahankan)
Sekuriti,11,T_SC2_32,T_SC2_33,5.876,5.408,-0.467,Keep Up (pertahankan)
Sekuriti,12,T_SC2_35,T_SC2_36,5.886,5.452,-0.433,Keep Up (pertahankan)
Sekuriti,13,T_SC2_38,T_SC2_39,5.853,5.357,-0.495,Low Priority
Sekuriti,14,T_SC2_41,T_SC2_42,5.94,5.399,-0.541,Quick Win (prioritas perbaikan)
Sekuriti,15,T_SC2_44,T_SC2_45,5.88,5.407,-0.474,Keep Up (pertahankan)
Teller,1,T_TL3_2,T_TL3_3,5.849,5.249,-0.6,Low Priority
Teller,2,T_TL3_5,T_TL3_6,5.883,5.481,-0.402,Keep Up (pertahankan)
Teller,3,T_TL3_8,T_TL3_9,5.88,5.395,-0.485,Quick Win (prioritas perbaikan)
Teller,4,T_TL3_11,T_TL3_12,5.791,5.352,-0.439,Low Priority
Teller,5,T_TL3_14,T_TL3_15,5.897,5.513,-0.384,Keep Up (pertahankan)
Teller,6,T_TL3_17,T_TL3_18,5.887,5.456,-0.431,Keep Up (pertahankan)
Teller,7,T_TL3_20,T_TL3_21,5.881,5.467,-0.414,Keep Up (pertahankan)
Teller,8,T_TL3_23,T_TL3_24,5.893,5.504,-0.389,Keep Up (pertahankan)
Teller,9,T_TL3_26,T_TL3_27,5.85,5.378,-0.472,Low Priority
Teller,10,T_TL3_29,T_TL3_30,5.886,5.413,-0.473,Keep Up (pertahankan)
Teller,11,T_TL3_32,T_TL3_33,5.888,5.467,-0.421,Keep Up (pertahankan)
Teller,12,T_TL3_35,T_TL3_36,5.867,5.413,-0.455,Keep Up (pertahankan)
Teller,13,T_TL3_38,T_TL3_39,5.88,5.473,-0.407,Keep Up (pertahankan)
Teller,14,T_TL3_41,T_TL3_42,5.862,5.407,-0.456,Possible Overkill
Teller,15,T_TL3_44,T_TL3_45,5.872,5.404,-0.468,Quick Win (prioritas perbaikan)
Teller,16,T_TL3_47,T_TL3_48,5.885,5.467,-0.418,Keep Up (pertahankan)
Teller,17,T_TL3_50,T_TL3_51,5.869,5.378,-0.491,Quick Win (prioritas perbaikan)
