panel,kategori,atribut,atribut_idx,importance,performance,gap,kuadran
Teller,Kantor Cabang,Kantor cabangnya banyak (dekat dengan tempat tinggal dan ata,1,5.754,5.249,-0.505,Low Priority
Teller,Kantor Cabang,Menyediakan layanan weekend banking - XYZ,2,5.797,5.217,-0.579,Low Priority
Teller,Kantor Cabang,Penampilan luar bangunan cabang dan papan nama cabang dalam ,3,5.842,5.313,-0.528,Low Priority
Teller,Kantor Cabang,Tersedia area parkir (khusus untuk cabang di gedung sendiri/,4,5.818,5.324,-0.495,Low Priority
Teller,Kantor Cabang,Ada petugas Sekuriti yang mengatur di area parkir (khusus un,5,5.865,5.206,-0.658,Low Priority
Teller,Kantor Cabang,Petunjuk arah parkir untuk nasabah  yang jelas dan bersih (p,6,5.81,5.285,-0.526,Low Priority
Teller,Kantor Cabang,Kebersihan di area parkir - XYZ,7,5.814,5.31,-0.504,Low Priority
Teller,Kantor Cabang,Kebersihan pada area masuk cabang - XYZ,8,5.846,5.384,-0.462,Possible Overkill
Teller,Kantor Cabang,Kebersihan dan kenyamanan area Banking Hall (kursi ruang tun,9,5.862,5.381,-0.482,Possible Overkill
Teller,Kantor Cabang,Tersedia tempat duduk yang cukup di ruang tunggu - XYZ,10,5.827,5.27,-0.556,Low Priority
Teller,Kantor Cabang,Pendingin ruangan di ruang tunggu sejuk  - XYZ,11,5.873,5.395,-0.478,Keep Up
Teller,Kantor Cabang,Ruang tunggu nyaman - XYZ,12,5.866,5.352,-0.514,Low Priority
Teller,Kantor Cabang,Disediakan Wifi gratis di ruang tunggu - XYZ,13,5.761,5.078,-0.682,Low Priority
Teller,Kantor Cabang,Tersedia TV di ruang tunggu - XYZ,14,5.803,5.327,-0.476,Low Priority
Teller,Kantor Cabang,Area ruang tunggunya wangi - XYZ,15,5.855,5.32,-0.535,Low Priority
Teller,Kantor Cabang,Diputarkan lagu lembut yang mengalun di area banking hall - ,16,5.769,5.125,-0.644,Low Priority
Teller,Kantor Cabang,Banking hall/area ruang tunggunya bersih - XYZ,17,5.866,5.367,-0.499,Possible Overkill
Teller,Kantor Cabang,Terdapat tempat sampah dan mudah ditemukan - XYZ,18,5.837,5.377,-0.46,Possible Overkill
Teller,Kantor Cabang,Tersedia penunjuk arah ruang pelayanan nasabah yang jelas/mu,19,5.854,5.406,-0.449,Possible Overkill
Teller,Kantor Cabang,"Area ruang Tertata dengan baik, rapi dan teratur - XYZ",20,5.857,5.32,-0.536,Low Priority
Teller,Kantor Cabang,Tata letak di kantor cabang mudah untuk diikuti dan mudah un,21,5.836,5.388,-0.448,Possible Overkill
Teller,Kantor Cabang,Terdapat tanaman hidup - XYZ,22,5.764,5.285,-0.479,Low Priority
Teller,Kantor Cabang,Tersedianya ruang laktasi  - XYZ,23,5.772,5.256,-0.516,Low Priority
Teller,Kantor Cabang,Kemudahan mengisi data-data pembukaan rekening baru pada e-f,24,5.867,5.416,-0.451,Keep Up
Teller,Kantor Cabang,Terdapat petunjuk arah ke toilet - XYZ,25,5.842,5.342,-0.5,Low Priority
Teller,Kantor Cabang,Terdapat toilet di cabang - XYZ,26,5.879,5.42,-0.459,Keep Up
Teller,Kantor Cabang,Toilet bersih - XYZ,27,5.896,5.356,-0.54,Keep Up
Teller,Kantor Cabang,Toilet selalu harum dan tidak bau - XYZ,28,5.875,5.349,-0.526,Quick Win
Teller,Kantor Cabang,Tersedia wastafel di area toilet - XYZ,29,5.845,5.367,-0.479,Possible Overkill
Teller,Kantor Cabang,Selalu tersedia tisu di toilet - XYZ,30,5.837,5.342,-0.495,Low Priority
Teller,Kantor Cabang,Selalu tersedia sabun pencuci tangan di toilet - XYZ,31,5.849,5.374,-0.475,Possible Overkill
Teller,Kantor Cabang,Air selalu mengalir dengan lancar di semua keran yang ada di,32,5.864,5.399,-0.465,Possible Overkill
Teller,Kantor Cabang,Toilet selalu berfungsi dengan baik - XYZ,33,5.877,5.431,-0.447,Keep Up
Teller,Kantor Cabang,Terdapat tempat sampah di toilet dan mudah ditemukan - XYZ,34,5.86,5.406,-0.454,Possible Overkill
Teller,Kantor Cabang,Tempat sampah tidak penuh - XYZ,35,5.837,5.377,-0.46,Possible Overkill
Teller,Teller,Waktu antrian di Teller cepat - XYZ,1,5.849,5.221,-0.628,Low Priority
Teller,Teller,Sistem antrian yang dilengkapi dengan nomor antrian - XYZ,2,5.883,5.473,-0.41,Keep Up
Teller,Teller,Layanan yang diberikan teller cepat      - XYZ,3,5.886,5.384,-0.501,Keep Up
Teller,Teller,Jumlah teller di kantor cabang mencukupi pada saat jam sibuk,4,5.797,5.352,-0.444,Low Priority
Teller,Teller,Tellernya berpenampilan rapi dan menarik - XYZ,5,5.899,5.516,-0.383,Keep Up
Teller,Teller,Akurat dalam melakukan transaksi (Tidak salah dalam melakuka,6,5.888,5.445,-0.443,Keep Up
Teller,Teller,Kehandalan sistem komputer untuk Teller (online) - XYZ,7,5.884,5.48,-0.404,Keep Up
Teller,Teller,Teller memiliki pengetahuan yang memadai - XYZ,8,5.895,5.516,-0.379,Keep Up
Teller,Teller,"Teller memberikan edukasi tentang penggunaan e-channel (ATM,",9,5.846,5.37,-0.476,Possible Overkill
Teller,Teller,Tellernya ramah selama melayani (tersenyum dan tidak jutek s,10,5.888,5.402,-0.486,Keep Up
Teller,Teller,Tellernya mengucapkan salam saat menyambut dan mengakhiri la,11,5.892,5.477,-0.416,Keep Up
Teller,Teller,Tellernya tidak mengobrol dengan rekannya / petugas bank lai,12,5.862,5.413,-0.45,Possible Overkill
Teller,Teller,Menunjukkan keinginan untuk membantu nasabah (selalu menanya,13,5.88,5.48,-0.399,Keep Up
Teller,Teller,Teller memperkenalkan diri/menyebut namanya saat menyambut n,14,5.869,5.388,-0.481,Keep Up
Teller,Teller,Memberikan pelayanan dengan pendekatan personal (menyebut na,15,5.874,5.409,-0.465,Keep Up
Teller,Teller,Tellernya selalu melakukan validas setelah selesai transaksi,16,5.884,5.456,-0.429,Keep Up
Teller,Teller,Memberikan usaha lebih/extra effort untuk nasabahnya (memban,17,5.866,5.367,-0.499,Possible Overkill
Teller,Teller,Terdapat papan nama Teller di area meja kerja Teller - XYZ,18,5.883,5.53,-0.353,Keep Up
Teller,Teller,Terdapat informasi/signage transaksi di meja kerja teller - ,19,5.868,5.445,-0.423,Keep Up
Teller,Customer Service,CS ramah selama melayani (tersenyum dan tidak jutek selama m,1,5.917,5.309,-0.608,Quick Win
Teller,Customer Service,Jumlah Customer Service yang melayani cukup pada saat jam si,2,5.807,5.147,-0.66,Low Priority
