provinsi,panel,nps_score
Bali,CS (KUOTA 50%),100.0
Bali,Teller (KUOTA 50%),92.3
Banten,CS (KUOTA 50%),78.7
Banten,Teller (KUOTA 50%),87.0
DKI Jakarta,CS (KUOTA 50%),65.8
DKI Jakarta,Teller (KUOTA 50%),64.5
Jawa Barat,CS (KUOTA 50%),85.1
Jawa Barat,Teller (KUOTA 50%),86.7
Jawa Tengah,CS (KUOTA 50%),68.0
Jawa Tengah,Teller (KUOTA 50%),77.6
Jawa Timur,CS (KUOTA 50%),61.5
Jawa Timur,Teller (KUOTA 50%),71.4
Kalimantan Selatan,CS (KUOTA 50%),92.3
Kalimantan Selatan,Teller (KUOTA 50%),92.9
Kalimantan Timur,CS (KUOTA 50%),69.2
Kalimantan Timur,Teller (KUOTA 50%),50.0
Kepulauan Riau,CS (KUOTA 50%),57.1
Kepulauan Riau,Teller (KUOTA 50%),53.8
Lampung,CS (KUOTA 50%),69.2
Lampung,Teller (KUOTA 50%),85.7
Riau,CS (KUOTA 50%),77.8
Riau,Teller (KUOTA 50%),77.8
Sulawesi Selatan,CS (KUOTA 50%),100.0
Sulawesi Selatan,Teller (KUOTA 50%),100.0
Sumatera Selatan,CS (KUOTA 50%),92.3
Sumatera Selatan,Teller (KUOTA 50%),78.6
Sumatera Utara,CS (KUOTA 50%),44.4
Sumatera Utara,Teller (KUOTA 50%),55.6
