usia_group,panel,nps_score
17 -19 tahun,CS (KUOTA 50%),88.9
17 -19 tahun,Teller (KUOTA 50%),80.0
20 - 25 tahun,CS (KUOTA 50%),82.8
20 - 25 tahun,Teller (KUOTA 50%),88.1
26 - 30 tahun,CS (KUOTA 50%),74.2
26 - 30 tahun,Teller (KUOTA 50%),83.6
31 - 35 tahun,CS (KUOTA 50%),87.4
31 - 35 tahun,Teller (KUOTA 50%),83.0
36 - 40 tahun,CS (KUOTA 50%),74.2
36 - 40 tahun,Teller (KUOTA 50%),81.7
41 - 45 tahun,CS (KUOTA 50%),84.9
41 - 45 tahun,Teller (KUOTA 50%),84.8
46 - 50 tahun,CS (KUOTA 50%),77.7
46 - 50 tahun,Teller (KUOTA 50%),75.0
50 tahun dan ke atas,CS (KUOTA 50%),73.3
50 tahun dan ke atas,Teller (KUOTA 50%),64.7
