SERIAL,provinsi,kota,cabang,panel,gender,usia,usia_group,lama_nasabah,frekuensi_transaksi,status_nikah,jumlah_anak,pendidikan,pekerjaan,pengeluaran,penghasilan,nps_num,csi_num,loyalty_num,nps_segment,emotion_positive_score,emotion_negative_score,emotion_net,customer_segment,lama_num,frek_num,ovr_operasional,ovr_parkir,ovr_banking_hall,ovr_toilet,ovr_sekuriti,ovr_teller,ovr_cs,T_I1A_2_num,T_I1A_5_num,T_I1A_8_num,T_I1A_11_num,T_I1A_14_num,T_I1A_17_num,T_I1A_20_num,T_I1A_23_num,T_I1A_26_num,T_I1A_29_num,T_I1A_32_num,T_I1A_35_num,T_I1A_38_num,T_I1A_41_num,T_I1A_44_num,T_I1A_47_num
197513878,DKI Jakarta,Jakarta Selatan,Jakarta Selatan 1,CS (KUOTA 50%),Pria,26,26 - 30 tahun,5 tahun atau lebih,1 minggu 2 kali atau lebih,Belum menikah,Tidak memiliki anak,Sarjana (S1),Pegawai/Karyawan Swasta,C1 : Rp. 1.500.001 - Rp. 2.000.000,Rp. 4.500.000 - Rp 6.000.000,10.0,6.0,6.0,Promoter,6.0,1.0,5.0,Loyal Champion,4.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
197518398,DKI Jakarta,Jakarta Timur,Jakarta Timur 1,Teller (KUOTA 50%),Pria,43,41 - 45 tahun,5 tahun atau lebih,1 minggu sekali,Menikah,3 anak,SLTA,Lainnya,A1 : Rp. 4.500.000 - Rp 6.000.000,Rp 10.500.0001 - Rp 15.000.000,10.0,6.0,6.0,Promoter,6.0,1.0,5.0,Satisfied,4.0,,6.0,6.0,6.0,6.0,6.0,6.0,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
197544291,DKI Jakarta,Jakarta Timur,Jakarta Timur 1,Teller (KUOTA 50%),Pria,30,26 - 30 tahun,5 tahun atau lebih,2 minggu sekali,Menikah,2 anak,SLTA,Pegawai/Karyawan Swasta,A1 : Rp. 4.500.000 - Rp 6.000.000,Rp 9.000.001- Rp 10.500.000,10.0,6.0,6.0,Promoter,6.0,1.0,5.0,Satisfied,4.0,,6.0,6.0,6.0,6.0,6.0,6.0,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
197564967,Jawa Tengah,Tegal,Tegal 1,CS (KUOTA 50%),Wanita,25,20 - 25 tahun,3 tahun s/d 4 tahun 11 bulan,1 minggu 2 kali atau lebih,Belum menikah,Tidak memiliki anak,Sarjana (S1),Lainnya,B : Rp. 2.000.001 - Rp. 3.000.000,Rp 7.500.001- Rp 9.000.000,10.0,6.0,6.0,Promoter,5.888888888888889,1.4285714285714286,4.4603174603174605,Unknown,,3.0,6.0,6.0,6.0,6.0,6.0,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0
197565141,Banten,Serang,Serang 1,Teller (KUOTA 50%),Pria,44,41 - 45 tahun,5 tahun atau lebih,1 minggu 2 kali atau lebih,Menikah,1 anak,SLTA,Pegawai/Karyawan Swasta,B : Rp. 2.000.001 - Rp. 3.000.000,Rp. 3.000.001 - Rp. 4.500.000,10.0,6.0,6.0,Promoter,6.0,1.4285714285714286,4.571428571428571,Loyal Champion,4.0,3.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0
197566293,DKI Jakarta,Jakarta Barat,Jakarta Barat 1,Teller (KUOTA 50%),Wanita,50,46 - 50 tahun,5 tahun atau lebih,2 minggu sekali,Menikah,2 anak,Sarjana (S1),Pegawai/Karyawan Swasta,A1.4 : Rp 10.500.0001 - Rp 15.000.000,Rp 10.500.0001 - Rp 15.000.000,8.0,5.0,5.0,Passive,4.888888888888889,4.714285714285714,0.17460317460317487,Passive,4.0,,5.0,5.0,4.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0
197566386,Banten,Serang,Serang 1,Teller (KUOTA 50%),Wanita,20,20 - 25 tahun,3 tahun s/d 4 tahun 11 bulan,1 minggu sekali,Belum menikah,Tidak memiliki anak,SLTA,Mahasiswa/i,B : Rp. 2.000.001 - Rp. 3.000.000,Rp. 2.000.001 - Rp. 3.000.000,9.0,6.0,6.0,Promoter,6.0,1.0,5.0,Unknown,,,6.0,6.0,6.0,6.0,6.0,6.0,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
197566478,Sumatera Utara,Medan,Medan 1,CS (KUOTA 50%),Wanita,49,46 - 50 tahun,3 tahun s/d 4 tahun 11 bulan,1 bulan sekali,Menikah,Tidak memiliki anak,Sarjana (S1),Pegawai/Karyawan Swasta,A2 : Rp. 3.000.001 - Rp. 4.500.000,Rp. 4.500.000 - Rp 6.000.000,6.0,6.0,6.0,Detractor,6.0,1.0,5.0,Unknown,,,6.0,6.0,6.0,6.0,6.0,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
197567174,Jawa Timur,Surabaya,Surabaya 1,CS (KUOTA 50%),Wanita,39,36 - 40 tahun,5 tahun atau lebih,1 bulan sekali,Menikah,2 anak,Sarjana (S1),Pegawai/Karyawan Swasta,A1 : Rp. 4.500.000 - Rp 6.000.000,Rp. 4.500.000 - Rp 6.000.000,9.0,6.0,6.0,Promoter,5.888888888888889,1.1428571428571428,4.746031746031747,Satisfied,4.0,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
197567182,Banten,Cilegon,Cilegon 1,Teller (KUOTA 50%),Pria,47,46 - 50 tahun,3 tahun s/d 4 tahun 11 bulan,1 minggu 2 kali atau lebih,Menikah,2 anak,SLTA,Wiraswasta/Pengusaha/Pedagang,A1.1 : Rp 6.000.001 - Rp 7.500.000,Rp 7.500.001- Rp 9.000.000,6.0,5.0,4.0,Detractor,4.666666666666667,3.142857142857143,1.5238095238095242,Unknown,,3.0,6.0,6.0,6.0,6.0,5.0,5.0,,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,3.0,3.0,2.0,2.0,5.0,4.0
